lact	lp	group	speed	pexp	phalf	pintmean	pintmedian
 1400 5 6 0.1403754 159.23512 91.78943 161.4153 150 0.9999574
 100 10 1 0.03022757 10.084416 11.67913 50 50 0.9996216
 100 10 2 0.02933745  7.891026 11.18729 50 50 0.9991145
 100 10 3 0.02998959  9.450070 11.55999 50 50 0.9995509
 100 10 4 0.03072057  9.854378 11.75021 50 50 0.9998187
 100 10 5 0.03009899  9.330699 11.54404 50 50 0.9996671
 100 10 6 0.03043902  9.741510 11.60277 50 50 0.9997825
 200 10 1 0.05616824 80.15968 44.74996 69.98547 50 0.9999460
 200 10 2 0.05561648 76.16245 43.44397 71.61961 50 0.9999534
 200 10 3 0.05605481 78.37380 44.48350 72.40117 50 0.9999410
 200 10 4 0.05539822 77.47482 43.98551 71.20743 50 0.9999236
 200 10 5 0.05540814 81.79622 43.04091 69.05109 50 0.9999424
 200 10 6 0.05524712 75.45038 42.53130 69.43199 50 0.9999343
 600 10 1 0.09390428 133.1548 67.85188 100.57427 100 0.9999946
 600 10 2 0.09253274 107.7550 63.06085  99.20575 100 0.9999949
 600 10 3 0.09488381 130.2298 68.22998 102.37724 100 0.9999926
 600 10 4 0.09363262 129.8767 66.85155  99.92436 100 0.9999925
 600 10 5 0.09232837 116.6800 63.27897  97.09172 100 0.9999951
 600 10 6 0.09412038 129.4045 69.33675 102.57296 100 0.9999899
 800 10 1 0.09812480 101.82927 60.49291  99.52967 100 0.9999961
 800 10 2 0.09810372 105.80361 60.55646 101.13803 100 0.9999946
 800 10 3 0.09733809  98.17407 60.05200 100.62684 100 0.9999933
 800 10 4 0.09856125 102.22664 61.47643 100.40501 100 0.9999951
 800 10 5 0.09704940 103.40928 59.00872  98.23487 100 0.9999943
 800 10 6 0.09855877 103.17842 61.45347 100.69802 100 0.9999937
 1000 10 1 0.09896176 92.90228 57.19699 101.67162 100 0.9996544
 1000 10 2 0.10151488 90.66878 58.58493 102.05731 100 0.9999935
 1000 10 3 0.10155299 89.34574 58.13198 103.21270 100 0.9999859
 1000 10 4 0.10133778 85.79203 57.79001 102.06948 100 0.9999926
 1000 10 5 0.10008407 85.57511 56.23507  99.56897 100 0.9999933
 1000 10 6 0.09887843 84.09886 55.48003  97.72727 100 0.9999963
 1200 10 1 0.09547303 90.73840 59.01568 103.8649 100 0.9960715
 1200 10 2 0.10263679 81.51991 55.45834 101.3808 100 0.9999946
 1200 10 3 0.10350017 88.13594 57.30848 102.1898 100 0.9999925
 1200 10 4 0.10405610 86.40049 58.68523 104.2129 100 0.9999944
 1200 10 5 0.10273329 82.00413 56.21284 102.6007 100 0.9999945
 1200 10 6 0.10450474 83.24228 57.91010 105.0183 100 0.9999945
 1400 10 1 0.10608681 83.33792 58.32523 107.2624 100 0.9999920
 1400 10 2 0.10567929 82.30814 57.93033 106.0377 100 0.9999934
 1400 10 3 0.10415796 77.52386 55.90080 105.8579 100 0.9999911
 1400 10 4 0.10456193 78.13286 56.58083 103.7120 100 0.9999928
 1400 10 5 0.09586998 77.78088 56.59459 104.1770 100 0.9929059
 1400 10 6 0.10582734 83.13540 57.97034 105.7229 100 0.9999912
 100 50 1 0.01600376 NA 5 NaN NA 0.9999862
 100 50 2 0.01538391 NA 5 NaN NA 0.9999865
 100 50 3 0.01597238 NA 5 NaN NA 0.9999837
 100 50 4 0.01675710 NA 5 NaN NA 0.9999386
 100 50 5 0.01539736 NA 5 NaN NA 0.9999849
 100 50 6 0.01609400 NA 5 NaN NA 0.9999887
 200 50 1 0.01662915 NA 5 NaN NA 0.9999860
 200 50 2 0.01642559 NA 5 NaN NA 0.9999466
 200 50 3 0.01506927 NA 5 NaN NA 0.9999746
 200 50 4 0.01593558 NA 5 NaN NA 0.9999890
 200 50 5 0.01636375 NA 5 NaN NA 0.9999857
 200 50 6 0.01620999 NA 5 NaN NA 0.9999725
 600 50 1 0.01590807       NA 7.211916 67.85714  50 0.9984744
 600 50 2 0.01479311       NA 5.910898 87.50000 100 0.9983490
 600 50 3 0.01541138       NA 6.517763 55.55556  50 0.9981398
 600 50 4 0.01650675 1.913046 8.047522 82.14286  75 0.9986999
