n dBIC13 dBIC12 dBIC23 broken dmuRel mp mact lact
1 -42.7852746207898 -26.1883211445233 -16.5969534762664 0 NA NA 10 0
1 -25.0103522544891 -4.98494165933516 -20.025410595154 0 NA NA 10 0
1 -50.7225599925446 -26.4493276138287 -24.2732323787159 0 NA NA 10 0
1 -28.5859209546413 -8.86522802968511 -19.7206929249562 0 NA NA 10 0
1 -43.146736024675 -14.8153799773261 -28.3313560473489 0 NA NA 10 0
1 -47.8793189906717 -25.694593107848 -22.1847258828236 0 NA NA 10 0
1 -49.5291050288818 -26.469456368143 -23.0596486607387 0 NA NA 10 0
1 -50.4203150060966 -26.393318267784 -24.0269967383126 0 NA NA 10 0
1 -44.0661084255614 -17.9232318233294 -26.142876602232 0 NA NA 10 0
1 -35.1099206027609 -13.2253585441999 -21.884562058561 0 NA NA 10 0
1 -45.918197609456 -19.6270181409093 -26.2911794685467 0 NA NA 10 0
1 -48.0588550030145 -25.9649980630595 -22.093856939955 0 NA NA 10 0
1 -50.8763243073809 -26.5801554738105 -24.2961688335704 0 NA NA 10 0
1 -47.5916153548976 -26.3867804085078 -21.2048349463898 0 NA NA 10 0
1 -45.2002017906632 -17.6959741630874 -27.5042276275758 0 NA NA 10 0
1 -44.8028306864237 -25.9785534327734 -18.8242772536503 0 NA NA 10 0
1 -29.7150940587583 -6.30422744474686 -23.4108666140114 0 NA NA 10 0
1 -41.5099961140033 -26.3167865410444 -15.1932095729589 0 NA NA 10 0
1 -44.4347782958728 -18.6068896256118 -25.827888670261 0 NA NA 10 0
1 -40.1990766790277 -26.3166021878405 -13.8824744911872 0 NA NA 10 0
1 -45.300590009241 -19.3351826597875 -25.9654073494535 0 NA NA 10 0
1 -46.0584353714626 -20.2608786294413 -25.7975567420212 0 NA NA 10 0
1 -42.4638648010571 -26.3256070827879 -16.1382577182692 0 NA NA 10 0
1 -45.1412416488495 -26.2281146306791 -18.9131270181704 0 NA NA 13.333 0
1 -44.1263417584355 -25.1139168919622 -19.0124248664733 0 NA NA 13.333 0
1 -47.3573496757554 -25.3228251053963 -22.0345245703591 0 NA NA 13.333 0
1 -40.0941980581802 -13.4411732858359 -26.6530247723442 0 NA NA 13.333 0
1 -42.1010793101623 -26.4748547685856 -15.6262245415767 0 NA NA 13.333 0
1 -43.9103922423217 -25.8191965777964 -18.0911956645252 0 NA NA 13.333 0
1 -46.3152409665515 -18.6544714381253 -27.6607695284263 0 NA NA 13.333 0
1 -41.1237500239165 -16.159125204857 -24.9646248190595 0 NA NA 13.333 0
1 -45.4357340116496 -18.0145468397304 -27.4211871719192 0 NA NA 13.333 0
1 -50.290172377506 -26.1390437694017 -24.1511286081043 0 NA NA 13.333 0
1 -43.8018330057648 -17.3743976586022 -26.4274353471626 0 NA NA 13.333 0
1 -47.7966905892424 -24.3312307295935 -23.4654598596489 0 NA NA 13.333 0
1 -46.9147654890417 -25.7524860651479 -21.1622794238938 0 NA NA 13.333 0
1 -40.0771189906638 -26.3147511920693 -13.7623677985946 0 NA NA 13.333 0
1 -41.667204224522 -26.3002201547461 -15.366984069776 0 NA NA 13.333 0
1 -44.496618891664 -17.6733663134769 -26.8232525781871 0 NA NA 13.333 0
1 -42.6275150928711 -15.259529101005 -27.3679859918661 0 NA NA 13.333 0
