lact	mact	group	speed	pexp	phalf	pintmean	pintmedian
 40 100 2 0.05906500 468.2742 196.5839 NA NA
 40 100 3 0.05926133 473.3753 209.4528 NA NA
 40 100 4 0.05901459 443.2622 192.6262 NA NA
 40 100 5 0.05902827 461.7229 201.1386 NA NA
 40 100 6 0.05935097 462.0760 206.8111 NA NA
 45 100 1 0.06596991  984.1506 436.8608 NA NA
 45 100 2 0.06726563  893.8836 455.7610 NA NA
 45 100 3 0.06740362  964.4973 453.8384 NA NA
 45 100 4 0.06711832  954.1197 436.4640 NA NA
 45 100 5 0.06742702  947.6598 438.7049 NA NA
 45 100 6 0.06703617 1080.6104 463.5650 NA NA
 50 100 1 0.07297630 2256.669  952.2240 NA NA
 50 100 2 0.07289194 2433.923 1079.4082 NA NA
 50 100 3 0.07331113 2262.595  990.5886 NA NA
 50 100 4 0.07317021 2747.817 1057.4607 NA NA
 50 100 5 0.07311393 1999.424  963.0328 NA NA
 50 100 6 0.07320654 2441.721 1000.1064 NA NA
 60 100 1 0.07885791 5432.496 2348.014 NA NA
 60 100 2 0.07886211 5489.215 2249.730 NA NA
 60 100 3 0.07950927 5597.122 2830.155 NA NA
 60 100 4 0.07960681 8293.342 3124.751 NA NA
 60 100 5 0.07963736 4684.811 2441.494 NA NA
 60 100 6 0.07909518 5759.874 2808.829 NA NA
 70 100 1 0.08163093 10616.137 5511.385 NA NA
 70 100 2 0.08192196  8114.373 3956.837 NA NA
 70 100 3 0.08200553  7558.222 3939.180 NA NA
 70 100 4 0.08132548  9372.881 4801.073 NA NA
 70 100 5 0.08169611  7711.398 3541.968 NA NA
 70 100 6 0.08186052  9710.594 3998.182 NA NA
 100 100 1 0.09013999 11916.555 5720.620 NA NA
 100 100 2 0.09076200 13779.394 5606.176 NA NA
 100 100 3 0.08981973  5842.910 3220.548 NA NA
 100 100 4 0.09018192 10189.352 4369.574 NA NA
 100 100 5 0.09043599  9636.704 4610.657 NA NA
 100 100 6 0.09048171  7848.774 3606.517 NA NA
 150 100 1 0.09522642 5852.051 2628.114 NA NA
 150 100 2 0.09484809 5011.424 2171.495 NA NA
 150 100 3 0.09519464 6317.811 3347.344 NA NA
 150 100 4 0.09516478 6492.007 2790.982 NA NA
 150 100 5 0.09502785 4596.151 2124.109 NA NA
 150 100 6 0.09459241 3635.182 1976.722 NA NA
 200 100 1 0.1010141 1981.221 1127.620 NA NA
 200 100 2 0.1004684 2043.844 1070.080 NA NA
 200 100 3 0.1009998 2170.934 1137.308 NA NA
 200 100 4 0.1008892 2358.487 1233.632 NA NA
 200 100 5 0.1007317 2197.792 1095.708 NA NA
 200 100 6 0.1008443 3043.336 1595.681 NA NA
